repo_name,repo_url,stars,contributors,commits,update_date,forks
feder,https://github.com/watchdogpolska/feder,18,16,3080,2024-01-29 14:58:55,11
digihel,https://github.com/City-of-Helsinki/digihel,18,10,379,2020-02-26 14:46:16,14
GEMtractor,https://github.com/binfalse/GEMtractor,2,3,233,2021-06-08 06:45:48,3
travel-expenses,https://github.com/grnet/travel-expenses,5,6,2644,2020-02-13 16:10:26,0
promgen,https://github.com/line/promgen,1017,16,1767,2024-01-26 02:01:00,153
anytask,https://github.com/znick/anytask,31,27,1671,2023-12-13 16:31:22,27
longclaw,https://github.com/longclawshop/longclaw,372,17,406,2023-08-13 08:17:47,81
naxos-forum,https://github.com/maur1th/naxos-forum,2,2,1235,2023-10-18 07:55:09,2
ChiefOnboarding,https://github.com/chiefonboarding/ChiefOnboarding,501,12,345,2023-12-11 23:13:54,95
aberowlweb,https://github.com/bio-ontology-research-group/aberowlweb,3,3,324,2023-01-10 12:07:02,1
voko,https://github.com/VOKO-Utrecht/voko,2,7,1462,2024-01-08 19:52:51,7
cz.pycon.org-2020-dev,https://github.com/messa/cz.pycon.org-2020-dev,3,19,1358,2020-02-16 13:36:39,0
temp-site,https://github.com/cppalliance/temp-site,2,12,1368,2024-01-26 19:55:52,6
Seeder,https://github.com/WebarchivCZ/Seeder,15,11,1639,2024-01-22 10:08:09,2
keadatabase,https://github.com/electricmagnetic/keadatabase,3,2,172,2024-01-08 22:24:02,1
tram,https://github.com/center-for-threat-informed-defense/tram,311,18,271,2023-10-19 12:09:40,80
GoogleCloudPlatform-training-data-analyst,https://github.com/vipinky/GoogleCloudPlatform-training-data-analyst,3,115,3687,2020-04-07 22:14:57,1
Bydlac,https://github.com/kacienk/Bydlac,2,4,209,2023-03-08 15:31:55,1
momo-app-clone,https://github.com/Tomdieu/momo-app-clone,2,2,483,2023-04-05 07:49:37,0
jasmin-web-panel,https://github.com/101t/jasmin-web-panel,64,4,114,2023-11-22 19:25:06,70
ozone,https://github.com/DoDGOSS/ozone,3,8,960,2020-03-30 15:54:22,8
a-plus,https://github.com/apluslms/a-plus,60,42,2726,2023-12-18 21:51:42,64
eoxserver,https://github.com/EOxServer/eoxserver,36,15,13152,2023-11-03 14:53:17,15
server,https://github.com/scrmtl/server,4,4,974,2021-02-25 17:27:20,0
spug,https://github.com/openspug/spug,9231,8,1215,2023-11-29 08:15:27,1917
kala-app,https://github.com/bgroff/kala-app,59,5,375,2020-03-10 15:50:29,12
GetTogether,https://github.com/GetTogetherComm/GetTogether,464,23,430,2022-04-18 22:22:54,85
radiofeed-app,https://github.com/danjac/radiofeed-app,38,3,13120,2024-01-28 19:03:33,3
sparte,https://github.com/MTES-MCT/sparte,5,5,2606,2024-01-16 08:31:36,0
recipes,https://github.com/TandoorRecipes/recipes,4453,247,5736,2024-01-29 08:06:49,500
pyment,https://github.com/mathuin/pyment,4,2,382,2023-04-22 23:34:40,1
eubucco.com,https://github.com/ai4up/eubucco.com,2,2,239,2023-03-20 23:08:09,0
airone,https://github.com/dmm-com/airone,24,14,3237,2024-01-29 06:48:32,17
plane,https://github.com/makeplane/plane,18138,65,2981,2024-01-30 09:53:20,819
pkpdapp,https://github.com/pkpdapp-team/pkpdapp,8,9,1549,2024-01-25 17:05:32,3
cometa,https://github.com/cometa-rocks/cometa,17,6,790,2024-01-17 09:46:24,1
letterpress,https://github.com/clairempr/letterpress,5,2,382,2023-12-17 18:28:22,0
obico-server,https://github.com/TheSpaghettiDetective/obico-server,1229,59,4244,2024-01-20 19:57:57,257
zubhub,https://github.com/unstructuredstudio/zubhub,45,40,535,2023-12-31 02:18:41,163
sustainandgain.fun,https://github.com/sustainabilityproject/sustainandgain.fun,6,6,536,2023-03-23 11:54:53,0
Package-Picker,https://github.com/pkgpkr/Package-Picker,2,7,544,2020-11-16 04:08:06,1
openwisp-controller,https://github.com/openwisp/openwisp-controller,505,44,905,2024-01-18 21:31:18,159
blueking-apigateway,https://github.com/TencentBlueKing/blueking-apigateway,20,11,850,2024-01-25 08:29:35,13
